,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
19,399912.31,7072874.59,905.68,62.63,out,ANLT,7.7,15.73,5697,6.59,2.76,14.7,1.84,3.19,1.56,770,1.51,13.86349522,0.72,1.5
20,399912.31,7072874.59,886.43,62.88,out,VLCL_BOTTOM,5.78,36.44,3175,2.6,1.52,34.3,0.48,1.02,0.69,390,3.81,13.86349522,0.12,3
21,399912.31,7072874.59,870.43,63.01,out,VLCL_BOTTOM,10,35.72,6264,3.03,1.14,34.1,1.15,1.47,0.53,520,2.48,13.86349522,0.17,2
22,399912.31,7072874.59,864.43,62.6,out,VLCL_BOTTOM,17.38,28.96681689,10870,3.08,2.03,34.3,1.24,2.03,0.07,400,2.65,13.86349522,0.22,0.8
23,399781.66,7072924.65,893.33,68,in,VLCL_TOP,71.8,28.96681689,81540,0.68,1.87,54.7,0.06,0.46,0.07,220,4.85,13.86349522,0.04,20
24,399600.02,7072835.58,949.52,69.7,in,VLCL_TOP,61.28,28.96681689,60623,1.88,2.61,48.9,0.46,1.09,0.04,380,2.11,13.86349522,0.12,4
25,399600.02,7072835.58,939.52,66.4,in,VLCL_TOP,12.54,28.96681689,10296,6.05,6.87,19.4,1,4.21,0.1,670,1.22,13.86349522,0.52,0.7
26,399600.02,7072835.58,935.52,68.1,in,ANLT,74.19,28.96681689,70043,0.97,2.63,55.4,0.17,0.59,0.06,270,0.71,13.86349522,0.08,0.5
27,399600.02,7072835.58,905.52,66.6,in,VLCL_BOTTOM,51.52,28.96681689,49925,2.55,4.08,41.9,0.55,1.96,0.05,360,0.9,13.86349522,0.18,5
28,399600.02,7072835.58,879.52,70.81,in,VLCL_BOTTOM,72.14,57.06,91248,0.85,1.14,55,0.48,0.48,0.02,420,4.35,13.86349522,0.06,5
29,399600.02,7072835.58,875.52,69.6,in,VLCL_BOTTOM,33.26,28.96681689,34585,3.26,3.21,32.1,1.26,2.31,0.05,570,3.97,13.86349522,0.16,1
30,399600.02,7072835.58,873.52,70.11,in,VLCL_BOTTOM,54.63,43.99,62140,2.11,2.09,41.2,1.59,1.18,0.04,530,1.53,13.86349522,0.12,1
31,399600.02,7072835.58,853.52,60.07,in,VLCL_BOTTOM,4,13.31,3022,5.97,4.67,12.6,2.58,2.34,1.24,600,3.28,13.86349522,0.38,0.3
32,399510.8,7072793.06,906.76,67.9,in,ANLT,19.08,28.96681689,15585,5.25,6.29,25.6,0.71,2.81,0.29,520,4.84,13.86349522,0.54,10
33,399510.8,7072793.06,898.76,69.6,in,ANLT,80.38,28.96681689,79723,0.74,0.72,61.2,0.15,0.42,0.04,210,4.1,13.86349522,0.05,14
34,399681.15,7072878.43,874.28,68.4,in,VLCL_BOTTOM,66.83,28.96681689,64368,1.17,2.37,52.3,0.45,0.77,0.12,290,6.49,13.86349522,0.08,3
